sku,product_name,category,fabric,color,size,price_inr,special_offer,product_details
VAS-WOM-011,Kanjivaram Bridal Silk Saree in Maroon,Women Ethnic - Saree,Zari Silk,Maroon,"XS, S, M, L, XL","17,039",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Zari Silk | Color: Maroon | Available Sizes: XS, S, M, L, XL | Price: INR 17,039 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-012,Kanjivaram Bridal Silk Saree in Pastel Pink,Women Ethnic - Saree,Zari Silk,Pastel Pink,"XS, S, M, L, XL","11,959",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Zari Silk | Color: Pastel Pink | Available Sizes: XS, S, M, L, XL | Price: INR 11,959 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-013,Kanjivaram Bridal Silk Saree in Emerald Green,Women Ethnic - Saree,Zari Silk,Emerald Green,"S, M, L, XL, XXL, 3XL","8,104",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Zari Silk | Color: Emerald Green | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 8,104 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-014,Kanjivaram Bridal Silk Saree in Royal Blue,Women Ethnic - Saree,Zari Silk,Royal Blue,"S, M, L, XL, XXL, 3XL","13,604",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Zari Silk | Color: Royal Blue | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 13,604 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-015,Kanjivaram Bridal Silk Saree in Mustard Yellow,Women Ethnic - Saree,Zari Silk,Mustard Yellow,"M, L, XL, XXL","6,822",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Zari Silk | Color: Mustard Yellow | Available Sizes: M, L, XL, XXL | Price: INR 6,822 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-016,Kanjivaram Bridal Silk Saree in Ivory White,Women Ethnic - Saree,Zari Silk,Ivory White,"XS, S, M, L, XL","19,680",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Zari Silk | Color: Ivory White | Available Sizes: XS, S, M, L, XL | Price: INR 19,680 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-017,Kanjivaram Bridal Silk Saree in Wine Burgundy,Women Ethnic - Saree,Zari Silk,Wine Burgundy,"M, L, XL, XXL","13,276",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Zari Silk | Color: Wine Burgundy | Available Sizes: M, L, XL, XXL | Price: INR 13,276 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-018,Kanjivaram Bridal Silk Saree in Teal Green,Women Ethnic - Saree,Zari Silk,Teal Green,"S, M, L, XL, XXL, 3XL","18,009",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Zari Silk | Color: Teal Green | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 18,009 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-019,Kanjivaram Bridal Silk Saree in Gold Metallic,Women Ethnic - Saree,Zari Silk,Gold Metallic,"XS, S, M, L, XL","18,695",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Zari Silk | Color: Gold Metallic | Available Sizes: XS, S, M, L, XL | Price: INR 18,695 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-020,Kanjivaram Bridal Silk Saree in Navy Blue,Women Ethnic - Saree,Zari Silk,Navy Blue,"S, M, L, XL, XXL, 3XL","8,454",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Zari Silk | Color: Navy Blue | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 8,454 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-021,Chanderi Handloom Saree in Maroon,Women Ethnic - Saree,Chanderi Cotton Silk,Maroon,"S, M, L, XL, XXL, 3XL","5,587",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Chanderi Cotton Silk | Color: Maroon | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 5,587 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-022,Chanderi Handloom Saree in Pastel Pink,Women Ethnic - Saree,Chanderi Cotton Silk,Pastel Pink,"XS, S, M, L, XL","2,262",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Chanderi Cotton Silk | Color: Pastel Pink | Available Sizes: XS, S, M, L, XL | Price: INR 2,262 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-023,Chanderi Handloom Saree in Emerald Green,Women Ethnic - Saree,Chanderi Cotton Silk,Emerald Green,Free Size (Semi-Stitched),"6,739",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Chanderi Cotton Silk | Color: Emerald Green | Available Sizes: Free Size (Semi-Stitched) | Price: INR 6,739 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-024,Chanderi Handloom Saree in Royal Blue,Women Ethnic - Saree,Chanderi Cotton Silk,Royal Blue,Free Size (Semi-Stitched),"5,069",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Chanderi Cotton Silk | Color: Royal Blue | Available Sizes: Free Size (Semi-Stitched) | Price: INR 5,069 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-025,Chanderi Handloom Saree in Mustard Yellow,Women Ethnic - Saree,Chanderi Cotton Silk,Mustard Yellow,Free Size (Semi-Stitched),"4,006",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Chanderi Cotton Silk | Color: Mustard Yellow | Available Sizes: Free Size (Semi-Stitched) | Price: INR 4,006 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-026,Chanderi Handloom Saree in Ivory White,Women Ethnic - Saree,Chanderi Cotton Silk,Ivory White,"M, L, XL, XXL","2,578",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Chanderi Cotton Silk | Color: Ivory White | Available Sizes: M, L, XL, XXL | Price: INR 2,578 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-027,Chanderi Handloom Saree in Wine Burgundy,Women Ethnic - Saree,Chanderi Cotton Silk,Wine Burgundy,"XS, S, M, L, XL","3,137",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Chanderi Cotton Silk | Color: Wine Burgundy | Available Sizes: XS, S, M, L, XL | Price: INR 3,137 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-028,Chanderi Handloom Saree in Teal Green,Women Ethnic - Saree,Chanderi Cotton Silk,Teal Green,Custom Tailored Available,"7,025",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Chanderi Cotton Silk | Color: Teal Green | Available Sizes: Custom Tailored Available | Price: INR 7,025 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-029,Chanderi Handloom Saree in Gold Metallic,Women Ethnic - Saree,Chanderi Cotton Silk,Gold Metallic,"S, M, L, XL, XXL, 3XL","3,290",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Chanderi Cotton Silk | Color: Gold Metallic | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 3,290 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-030,Chanderi Handloom Saree in Navy Blue,Women Ethnic - Saree,Chanderi Cotton Silk,Navy Blue,"M, L, XL, XXL","5,018",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Chanderi Cotton Silk | Color: Navy Blue | Available Sizes: M, L, XL, XXL | Price: INR 5,018 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-031,Pure Georgette Chikankari Saree in Maroon,Women Ethnic - Saree,Georgette,Maroon,"M, L, XL, XXL","4,619",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Georgette | Color: Maroon | Available Sizes: M, L, XL, XXL | Price: INR 4,619 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-032,Pure Georgette Chikankari Saree in Pastel Pink,Women Ethnic - Saree,Georgette,Pastel Pink,"XS, S, M, L, XL","7,929",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Georgette | Color: Pastel Pink | Available Sizes: XS, S, M, L, XL | Price: INR 7,929 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-033,Pure Georgette Chikankari Saree in Emerald Green,Women Ethnic - Saree,Georgette,Emerald Green,"M, L, XL, XXL","13,340",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Georgette | Color: Emerald Green | Available Sizes: M, L, XL, XXL | Price: INR 13,340 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-034,Pure Georgette Chikankari Saree in Royal Blue,Women Ethnic - Saree,Georgette,Royal Blue,"S, M, L, XL, XXL, 3XL","5,908",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Georgette | Color: Royal Blue | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 5,908 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-035,Pure Georgette Chikankari Saree in Mustard Yellow,Women Ethnic - Saree,Georgette,Mustard Yellow,"S, M, L, XL, XXL, 3XL","13,050",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Georgette | Color: Mustard Yellow | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 13,050 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-036,Pure Georgette Chikankari Saree in Ivory White,Women Ethnic - Saree,Georgette,Ivory White,"S, M, L, XL, XXL, 3XL","12,216",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Georgette | Color: Ivory White | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 12,216 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-037,Pure Georgette Chikankari Saree in Wine Burgundy,Women Ethnic - Saree,Georgette,Wine Burgundy,"XS, S, M, L, XL","9,805",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Georgette | Color: Wine Burgundy | Available Sizes: XS, S, M, L, XL | Price: INR 9,805 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-038,Pure Georgette Chikankari Saree in Teal Green,Women Ethnic - Saree,Georgette,Teal Green,"S, M, L, XL, XXL, 3XL","4,862",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Georgette | Color: Teal Green | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 4,862 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-039,Pure Georgette Chikankari Saree in Gold Metallic,Women Ethnic - Saree,Georgette,Gold Metallic,Free Size (Semi-Stitched),"8,578",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Georgette | Color: Gold Metallic | Available Sizes: Free Size (Semi-Stitched) | Price: INR 8,578 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-040,Pure Georgette Chikankari Saree in Navy Blue,Women Ethnic - Saree,Georgette,Navy Blue,"S, M, L, XL, XXL, 3XL","7,229",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Georgette | Color: Navy Blue | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 7,229 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-041,Organza Floral Embroidered Saree in Maroon,Women Ethnic - Saree,Organza,Maroon,Custom Tailored Available,"6,491",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Organza | Color: Maroon | Available Sizes: Custom Tailored Available | Price: INR 6,491 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-042,Organza Floral Embroidered Saree in Pastel Pink,Women Ethnic - Saree,Organza,Pastel Pink,"XS, S, M, L, XL","3,083",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Organza | Color: Pastel Pink | Available Sizes: XS, S, M, L, XL | Price: INR 3,083 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-043,Organza Floral Embroidered Saree in Emerald Green,Women Ethnic - Saree,Organza,Emerald Green,Free Size (Semi-Stitched),"8,292",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Organza | Color: Emerald Green | Available Sizes: Free Size (Semi-Stitched) | Price: INR 8,292 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-044,Organza Floral Embroidered Saree in Royal Blue,Women Ethnic - Saree,Organza,Royal Blue,Free Size (Semi-Stitched),"3,770",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Organza | Color: Royal Blue | Available Sizes: Free Size (Semi-Stitched) | Price: INR 3,770 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-045,Organza Floral Embroidered Saree in Mustard Yellow,Women Ethnic - Saree,Organza,Mustard Yellow,Free Size (Semi-Stitched),"7,667",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Organza | Color: Mustard Yellow | Available Sizes: Free Size (Semi-Stitched) | Price: INR 7,667 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-046,Organza Floral Embroidered Saree in Ivory White,Women Ethnic - Saree,Organza,Ivory White,"XS, S, M, L, XL","3,485",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Organza | Color: Ivory White | Available Sizes: XS, S, M, L, XL | Price: INR 3,485 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-047,Organza Floral Embroidered Saree in Wine Burgundy,Women Ethnic - Saree,Organza,Wine Burgundy,Free Size (Semi-Stitched),"9,349",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Organza | Color: Wine Burgundy | Available Sizes: Free Size (Semi-Stitched) | Price: INR 9,349 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-048,Organza Floral Embroidered Saree in Teal Green,Women Ethnic - Saree,Organza,Teal Green,"XS, S, M, L, XL","4,074",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Organza | Color: Teal Green | Available Sizes: XS, S, M, L, XL | Price: INR 4,074 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-049,Organza Floral Embroidered Saree in Gold Metallic,Women Ethnic - Saree,Organza,Gold Metallic,"S, M, L, XL, XXL, 3XL","2,904",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Organza | Color: Gold Metallic | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 2,904 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-050,Organza Floral Embroidered Saree in Navy Blue,Women Ethnic - Saree,Organza,Navy Blue,"M, L, XL, XXL","5,551",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Organza | Color: Navy Blue | Available Sizes: M, L, XL, XXL | Price: INR 5,551 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-051,Bandhani Jaipuri Silk Saree in Maroon,Women Ethnic - Saree,Gaji Silk,Maroon,Free Size (Semi-Stitched),"3,621",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Gaji Silk | Color: Maroon | Available Sizes: Free Size (Semi-Stitched) | Price: INR 3,621 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-052,Bandhani Jaipuri Silk Saree in Pastel Pink,Women Ethnic - Saree,Gaji Silk,Pastel Pink,Custom Tailored Available,"4,753",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Gaji Silk | Color: Pastel Pink | Available Sizes: Custom Tailored Available | Price: INR 4,753 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-053,Bandhani Jaipuri Silk Saree in Emerald Green,Women Ethnic - Saree,Gaji Silk,Emerald Green,Free Size (Semi-Stitched),"5,306",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Gaji Silk | Color: Emerald Green | Available Sizes: Free Size (Semi-Stitched) | Price: INR 5,306 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-054,Bandhani Jaipuri Silk Saree in Royal Blue,Women Ethnic - Saree,Gaji Silk,Royal Blue,Custom Tailored Available,"5,048",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Gaji Silk | Color: Royal Blue | Available Sizes: Custom Tailored Available | Price: INR 5,048 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-055,Bandhani Jaipuri Silk Saree in Mustard Yellow,Women Ethnic - Saree,Gaji Silk,Mustard Yellow,Custom Tailored Available,"3,025",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Gaji Silk | Color: Mustard Yellow | Available Sizes: Custom Tailored Available | Price: INR 3,025 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-056,Bandhani Jaipuri Silk Saree in Ivory White,Women Ethnic - Saree,Gaji Silk,Ivory White,Free Size (Semi-Stitched),"4,698",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Gaji Silk | Color: Ivory White | Available Sizes: Free Size (Semi-Stitched) | Price: INR 4,698 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-057,Bandhani Jaipuri Silk Saree in Wine Burgundy,Women Ethnic - Saree,Gaji Silk,Wine Burgundy,"M, L, XL, XXL","4,567",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Gaji Silk | Color: Wine Burgundy | Available Sizes: M, L, XL, XXL | Price: INR 4,567 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-058,Bandhani Jaipuri Silk Saree in Teal Green,Women Ethnic - Saree,Gaji Silk,Teal Green,"XS, S, M, L, XL","4,278",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Gaji Silk | Color: Teal Green | Available Sizes: XS, S, M, L, XL | Price: INR 4,278 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-059,Bandhani Jaipuri Silk Saree in Gold Metallic,Women Ethnic - Saree,Gaji Silk,Gold Metallic,Free Size (Semi-Stitched),"2,677",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Gaji Silk | Color: Gold Metallic | Available Sizes: Free Size (Semi-Stitched) | Price: INR 2,677 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-060,Bandhani Jaipuri Silk Saree in Navy Blue,Women Ethnic - Saree,Gaji Silk,Navy Blue,Custom Tailored Available,"4,714",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Gaji Silk | Color: Navy Blue | Available Sizes: Custom Tailored Available | Price: INR 4,714 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-061,Paithani Gold Zari Saree in Maroon,Women Ethnic - Saree,Paithani Silk,Maroon,"S, M, L, XL, XXL, 3XL","17,594",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Paithani Silk | Color: Maroon | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 17,594 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-062,Paithani Gold Zari Saree in Pastel Pink,Women Ethnic - Saree,Paithani Silk,Pastel Pink,"M, L, XL, XXL","18,791",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Paithani Silk | Color: Pastel Pink | Available Sizes: M, L, XL, XXL | Price: INR 18,791 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-063,Paithani Gold Zari Saree in Emerald Green,Women Ethnic - Saree,Paithani Silk,Emerald Green,"M, L, XL, XXL","22,164",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Paithani Silk | Color: Emerald Green | Available Sizes: M, L, XL, XXL | Price: INR 22,164 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-064,Paithani Gold Zari Saree in Royal Blue,Women Ethnic - Saree,Paithani Silk,Royal Blue,Free Size (Semi-Stitched),"11,355",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Paithani Silk | Color: Royal Blue | Available Sizes: Free Size (Semi-Stitched) | Price: INR 11,355 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-065,Paithani Gold Zari Saree in Mustard Yellow,Women Ethnic - Saree,Paithani Silk,Mustard Yellow,Custom Tailored Available,"13,035",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Paithani Silk | Color: Mustard Yellow | Available Sizes: Custom Tailored Available | Price: INR 13,035 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-066,Paithani Gold Zari Saree in Ivory White,Women Ethnic - Saree,Paithani Silk,Ivory White,"M, L, XL, XXL","11,357",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Paithani Silk | Color: Ivory White | Available Sizes: M, L, XL, XXL | Price: INR 11,357 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-067,Paithani Gold Zari Saree in Wine Burgundy,Women Ethnic - Saree,Paithani Silk,Wine Burgundy,"XS, S, M, L, XL","20,006",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Paithani Silk | Color: Wine Burgundy | Available Sizes: XS, S, M, L, XL | Price: INR 20,006 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-068,Paithani Gold Zari Saree in Teal Green,Women Ethnic - Saree,Paithani Silk,Teal Green,Free Size (Semi-Stitched),"6,828",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Paithani Silk | Color: Teal Green | Available Sizes: Free Size (Semi-Stitched) | Price: INR 6,828 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-069,Paithani Gold Zari Saree in Gold Metallic,Women Ethnic - Saree,Paithani Silk,Gold Metallic,"S, M, L, XL, XXL, 3XL","15,278",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Paithani Silk | Color: Gold Metallic | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 15,278 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-070,Paithani Gold Zari Saree in Navy Blue,Women Ethnic - Saree,Paithani Silk,Navy Blue,"XS, S, M, L, XL","10,380",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Paithani Silk | Color: Navy Blue | Available Sizes: XS, S, M, L, XL | Price: INR 10,380 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
